E D#
G#m D#m/F# Fm7(b5)
C#m F#sus4 F#
B
B
C#m7/B
F#/A# E/G#
B/F#
E F#/E
D#m7 G#m7
C#7sus4 C#7
F#sus4 F#
B
C#m7/B
F#/A# E/G#
B/F#
E F#/E
D#m7 G#m7
C#7/F
F#sus4 F#
E F#/E
D#m7 G#m
C#m7 F#7sus4
B C#m B/D#
E F#/E
D#m7 G#m7
C#7sus4 C#7
F#sus4 F#
B D#7
G#m F#m7 B7
EM7 Em6
D#m7 G#aug7 G#
C#m7 Em6
D#m7 G#m7
C#7sus4 C#7
F#sus4 F#
EM7 D#7(#9)
G#m B/F# Fm7(b5)
C#m7 F#sus4 F#
Bsus4
EM7 D#7
G#m7 Gm7 F#m7 B7
EM7 F#/E
F#m/A A/B B7
EM7 Em6
D#m7 G#m7
C#7sus4 C#7
F#7sus4 G7sus4
C E7
Am/Ab Gm7 C7
FM7 Fm6
Em7 Aaug7 A7
Dm7 Fm6
Em7 Am7
Dm7 D7
G7sus4 G
F E7
Am Em/G F#m7(b5)
Dm7 G7sus4
F/C Dm/F C
